"customer_id","last_transaction","transactions","unique_products","revenue","total_days","days_inactive","frequency","aov","country","total_products","churn"
"12346.0","2011-01-18 10:17:00","17","30","-64.68","400 days 01:43:00","203 days 02:33:00","23 days 12:48:24.705883","-3.8047058823529412","United Kingdom","52",1
"12347.0","2011-12-07 15:52:00","8","126","5633.32","402 days 01:32:00","-120 days -03:02:00","50 days 06:11:30","704.1650000000000000","Iceland","3286",0
"12348.0","2011-09-25 13:13:00","5","25","2019.40","362 days 22:14:00","-47 days -00:23:00","72 days 14:02:48","403.8800000000000000","Finland","2714",0
"12349.0","2011-11-21 09:51:00","5","139","4404.54","716 days 21:02:00","-103 days -21:01:00","143 days 09:00:24","880.9080000000000000","Italy","1619",0
"12350.0","2011-02-02 16:01:00","1","17","334.40","00:00:00","187 days 20:49:00","00:00:00","334.4000000000000000","Norway","197",1
"12351.0","2010-11-29 15:23:00","1","21","300.93","00:00:00","252 days 21:27:00","00:00:00","300.9300000000000000","Unspecified","261",1
"12352.0","2011-11-03 14:37:00","13","70","1889.21","356 days 04:17:00","-86 days -01:47:00","27 days 09:33:36.923077","145.3238461538461538","Norway","658",0
"12353.0","2011-05-19 17:47:00","2","23","406.76","204 days 05:03:00","81 days 19:03:00","102 days 02:31:30","203.3800000000000000","Bahrain","212",1
"12354.0","2011-04-21 13:11:00","1","58","1079.40","00:00:00","109 days 23:39:00","00:00:00","1079.4000000000000000","Spain","530",1
"12355.0","2011-05-09 13:49:00","2","35","947.61","353 days 01:50:00","91 days 23:01:00","176 days 12:55:00","473.8050000000000000","Bahrain","543",1
"12356.0","2011-11-17 08:40:00","6","104","6373.68","401 days 22:58:00","-99 days -19:50:00","66 days 23:49:40","1062.2800000000000000","Portugal","3417",0
"12357.0","2011-11-06 16:07:00","3","261","18287.66","355 days 06:02:00","-89 days -03:17:00","118 days 10:00:40","6095.8866666666666667","Switzerland","6587",0
"12358.0","2011-12-08 10:26:00","5","56","3887.07","730 days 02:27:00","-120 days -21:36:00","146 days 00:29:24","777.4140000000000000","Austria","1079",0
